"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.11.2024","0,8317","0,8283","0,8318","0,8276","","0,47%"
"11.11.2024","0,8278","0,8298","0,8304","0,8259","","-0,17%"
"08.11.2024","0,8292","0,8318","0,8327","0,8291","","-0,32%"
"07.11.2024","0,8319","0,8331","0,8342","0,8305","","-0,12%"
"06.11.2024","0,8329","0,8382","0,8388","0,8313","","-0,61%"
"05.11.2024","0,8380","0,8395","0,8400","0,8377","","-0,17%"
"04.11.2024","0,8394","0,8411","0,8422","0,8383","","0,18%"
"01.11.2024","0,8379","0,8438","0,8445","0,8367","","-0,68%"
"31.10.2024","0,8436","0,8376","0,8450","0,8353","","0,73%"
"30.10.2024","0,8375","0,8312","0,8378","0,8308","","0,77%"
"29.10.2024","0,8311","0,8335","0,8342","0,8297","","-0,28%"
"28.10.2024","0,8334","0,8330","0,8345","0,8319","","0,11%"
"25.10.2024","0,8325","0,8344","0,8352","0,8324","","-0,24%"
"24.10.2024","0,8345","0,8345","0,8354","0,8312","","0,02%"
"23.10.2024","0,8343","0,8317","0,8346","0,8303","","0,32%"
"22.10.2024","0,8316","0,8329","0,8347","0,8313","","-0,14%"
"21.10.2024","0,8328","0,8322","0,8341","0,8321","","0,06%"
"18.10.2024","0,8323","0,8325","0,8337","0,8295","","-0,01%"
"17.10.2024","0,8324","0,8361","0,8372","0,8317","","-0,43%"
"16.10.2024","0,8360","0,8331","0,8382","0,8325","","0,36%"
"15.10.2024","0,8330","0,8353","0,8358","0,8323","","-0,28%"
"14.10.2024","0,8353","0,8367","0,8375","0,8347","","-0,19%"
"11.10.2024","0,8369","0,8374","0,8385","0,8363","","-0,05%"
"10.10.2024","0,8373","0,8369","0,8388","0,8348","","0,05%"
"09.10.2024","0,8369","0,8379","0,8390","0,8367","","-0,11%"
"08.10.2024","0,8378","0,8389","0,8406","0,8372","","-0,11%"
"07.10.2024","0,8387","0,8366","0,8401","0,8354","","0,27%"
"04.10.2024","0,8364","0,8406","0,8410","0,8352","","-0,48%"
"03.10.2024","0,8404","0,8325","0,8436","0,8321","","0,96%"
"02.10.2024","0,8324","0,8331","0,8340","0,8320","","-0,08%"
"01.10.2024","0,8331","0,8325","0,8347","0,8309","","0,11%"
"30.09.2024","0,8322","0,8351","0,8361","0,8311","","-0,29%"
"27.09.2024","0,8346","0,8331","0,8352","0,8321","","0,19%"
"26.09.2024","0,8330","0,8356","0,8363","0,8325","","-0,29%"
"25.09.2024","0,8354","0,8336","0,8373","0,8331","","0,23%"
"24.09.2024","0,8335","0,8326","0,8341","0,8316","","0,12%"
"23.09.2024","0,8325","0,8379","0,8390","0,8321","","-0,63%"
"20.09.2024","0,8378","0,8402","0,8410","0,8377","","-0,27%"
"19.09.2024","0,8401","0,8415","0,8425","0,8390","","-0,15%"
"18.09.2024","0,8414","0,8445","0,8455","0,8398","","-0,34%"
"17.09.2024","0,8443","0,8424","0,8456","0,8417","","0,25%"
"16.09.2024","0,8422","0,8440","0,8446","0,8418","","-0,20%"
"13.09.2024","0,8439","0,8438","0,8454","0,8426","","0,02%"
