"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.11.2024","163,92","163,70","164,13","163,25","","0,10%"
"11.11.2024","163,76","163,64","164,67","163,48","","0,10%"
"08.11.2024","163,59","165,26","165,44","163,21","","-0,99%"
"07.11.2024","165,23","165,92","165,98","164,99","","-0,40%"
"06.11.2024","165,89","165,74","166,14","164,93","","0,11%"
"05.11.2024","165,71","165,48","166,08","165,41","","0,15%"
"04.11.2024","165,47","165,75","166,55","165,23","","-0,15%"
"01.11.2024","165,72","165,46","166,43","165,22","","0,16%"
"31.10.2024","165,45","166,56","166,70","164,92","","-0,66%"
"30.10.2024","166,55","165,91","166,62","165,49","","0,40%"
"29.10.2024","165,89","165,75","166,15","165,14","","0,10%"
"28.10.2024","165,73","164,46","166,09","164,43","","0,82%"
"25.10.2024","164,38","164,38","164,80","163,91","","0,00%"
"24.10.2024","164,38","164,68","164,77","163,79","","-0,18%"
"23.10.2024","164,68","163,15","165,04","163,04","","0,97%"
"22.10.2024","163,10","163,14","163,68","162,79","","-0,01%"
"21.10.2024","163,12","162,41","163,17","161,99","","0,40%"
"18.10.2024","162,47","162,70","162,87","162,18","","-0,13%"
"17.10.2024","162,68","162,54","162,77","161,85","","0,11%"
"16.10.2024","162,50","162,49","162,90","162,11","","0,02%"
"15.10.2024","162,47","163,38","163,45","162,34","","-0,54%"
"14.10.2024","163,36","163,01","163,65","162,89","","0,16%"
"11.10.2024","163,10","162,47","163,41","162,29","","0,40%"
"10.10.2024","162,45","163,34","163,63","162,16","","-0,53%"
"09.10.2024","163,31","162,73","163,49","162,38","","0,37%"
"08.10.2024","162,71","162,65","162,84","161,90","","0,06%"
"07.10.2024","162,61","163,24","163,59","162,29","","-0,37%"
"04.10.2024","163,22","162,07","163,40","160,73","","0,73%"
"03.10.2024","162,04","161,79","162,51","161,36","","0,17%"
"02.10.2024","161,77","158,90","161,88","158,70","","1,81%"
"01.10.2024","158,89","159,93","160,94","158,36","","-0,64%"
"30.09.2024","159,91","158,68","160,15","158,10","","0,74%"
"27.09.2024","158,73","161,85","163,51","158,57","","-1,92%"
"26.09.2024","161,83","161,16","161,93","160,74","","0,43%"
"25.09.2024","161,14","160,14","161,69","159,87","","0,64%"
"24.09.2024","160,11","159,60","161,13","159,22","","0,34%"
"23.09.2024","159,57","160,66","161,20","159,04","","-0,66%"
"20.09.2024","160,63","159,19","161,18","158,40","","0,91%"
"19.09.2024","159,18","158,20","159,99","157,78","","0,63%"
"18.09.2024","158,18","158,27","158,74","157,04","","-0,04%"
"17.09.2024","158,25","156,55","158,34","156,04","","1,11%"
"16.09.2024","156,52","156,01","156,71","155,15","","0,35%"
"13.09.2024","155,97","157,07","157,12","155,60","","-0,67%"
"12.09.2024","157,02","156,76","157,53","156,52","","0,18%"
"11.09.2024","156,74","156,99","157,02","155,46","","-0,13%"
"10.09.2024","156,94","158,01","158,65","156,79","","-0,65%"
"09.09.2024","157,97","157,68","158,74","157,40","","0,18%"
"06.09.2024","157,68","159,38","159,46","157,46","","-1,05%"
"05.09.2024","159,36","159,29","159,82","158,54","","0,05%"
"04.09.2024","159,28","160,65","160,91","159,25","","-0,85%"
"03.09.2024","160,64","162,63","162,82","160,49","","-1,22%"
"02.09.2024","162,63","161,49","162,90","161,01","","0,72%"
"30.08.2024","161,46","160,60","161,65","160,19","","0,54%"
"29.08.2024","160,59","160,78","161,29","160,02","","-0,11%"
"28.08.2024","160,77","161,02","161,38","160,43","","-0,14%"
"27.08.2024","160,99","161,31","162,21","160,88","","-0,19%"
"26.08.2024","161,30","161,54","161,60","160,49","","-0,15%"
"23.08.2024","161,55","162,54","162,74","161,20","","-0,60%"
"22.08.2024","162,52","161,99","162,93","161,46","","0,35%"
"21.08.2024","161,95","161,68","162,79","161,34","","0,18%"
"20.08.2024","161,66","162,51","163,23","161,52","","-0,50%"
"19.08.2024","162,47","162,71","163,21","160,40","","-0,17%"
"16.08.2024","162,75","163,79","163,89","162,29","","-0,61%"
"15.08.2024","163,75","162,25","163,91","161,81","","0,94%"
"14.08.2024","162,22","161,41","162,60","160,58","","0,52%"
"13.08.2024","161,38","160,91","161,82","160,65","","0,30%"
"12.08.2024","160,89","160,05","161,98","160,05","","0,53%"
"09.08.2024","160,04","160,82","161,38","159,81","","-0,47%"
"08.08.2024","160,80","160,22","160,91","158,95","","0,37%"
"07.08.2024","160,20","157,77","161,45","157,70","","1,57%"
"06.08.2024","157,72","157,93","160,24","157,29","","-0,11%"
"05.08.2024","157,89","160,07","160,11","154,40","","-1,24%"
"02.08.2024","159,88","161,20","161,96","159,68","","-0,80%"
"01.08.2024","161,17","162,38","162,91","160,88","","-0,73%"
"31.07.2024","162,35","165,23","166,40","162,01","","-1,73%"
"30.07.2024","165,21","166,66","167,98","165,08","","-0,85%"
"29.07.2024","166,62","167,01","167,54","166,22","","-0,16%"
"26.07.2024","166,88","166,97","168,03","166,35","","-0,02%"
"25.07.2024","166,92","166,84","167,63","164,82","","0,08%"
"24.07.2024","166,79","168,87","169,23","166,13","","-1,20%"
"23.07.2024","168,82","171,02","171,12","168,82","","-1,26%"
"22.07.2024","170,97","171,38","171,68","170,07","","-0,19%"
"19.07.2024","171,30","171,48","171,90","170,90","","-0,08%"
"18.07.2024","171,44","170,82","171,60","169,98","","0,38%"
"17.07.2024","170,79","172,59","172,86","170,69","","-1,01%"
"16.07.2024","172,54","172,17","172,96","172,13","","0,23%"
"15.07.2024","172,14","172,20","172,57","171,57","","-0,03%"
"12.07.2024","172,19","172,59","173,46","171,45","","-0,22%"
"11.07.2024","172,57","175,07","175,95","171,54","","-1,44%"
"10.07.2024","175,09","174,48","175,19","174,38","","0,39%"
"09.07.2024","174,41","174,09","174,62","174,00","","0,22%"
"08.07.2024","174,03","173,73","174,66","173,51","","-0,07%"
"05.07.2024","174,16","174,36","174,54","173,70","","-0,10%"
"04.07.2024","174,33","174,44","174,46","173,79","","-0,02%"
