"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.11.2024","197,06","197,64","198,06","196,89","","-0,38%"
"11.11.2024","197,81","197,17","198,50","197,01","","0,30%"
"08.11.2024","197,21","198,66","198,96","196,72","","-0,69%"
"07.11.2024","198,59","199,16","199,59","198,30","","-0,27%"
"06.11.2024","199,13","197,74","199,58","197,32","","0,72%"
"05.11.2024","197,71","197,14","197,91","196,98","","0,30%"
"04.11.2024","197,11","197,77","197,89","196,48","","-0,32%"
"01.11.2024","197,74","196,11","198,42","195,75","","0,84%"
"31.10.2024","196,09","198,88","198,98","195,36","","-1,39%"
"30.10.2024","198,85","199,61","199,85","198,18","","-0,37%"
"29.10.2024","199,59","198,86","199,76","198,02","","0,38%"
"28.10.2024","198,83","197,49","199,38","197,44","","0,74%"
"25.10.2024","197,37","197,01","197,81","196,37","","0,22%"
"24.10.2024","196,94","197,38","197,66","196,40","","-0,21%"
"23.10.2024","197,35","196,15","198,46","195,88","","0,63%"
"22.10.2024","196,12","195,87","196,55","195,10","","0,14%"
"21.10.2024","195,84","195,03","195,92","194,54","","0,38%"
"18.10.2024","195,09","195,44","196,09","194,74","","-0,14%"
"17.10.2024","195,37","194,39","195,65","193,80","","0,52%"
"16.10.2024","194,36","195,07","195,32","193,68","","-0,34%"
"15.10.2024","195,02","195,58","195,76","194,63","","-0,28%"
"14.10.2024","195,56","194,88","195,84","194,62","","0,36%"
"11.10.2024","194,85","194,02","195,26","193,84","","0,44%"
"10.10.2024","193,99","195,16","195,54","193,55","","-0,58%"
"09.10.2024","195,12","194,21","195,30","193,57","","0,48%"
"08.10.2024","194,19","193,88","194,41","192,87","","0,17%"
"07.10.2024","193,86","195,12","195,66","193,32","","-0,61%"
"04.10.2024","195,05","192,84","195,56","191,72","","1,17%"
"03.10.2024","192,80","194,33","195,21","192,11","","-0,78%"
"02.10.2024","194,31","190,74","194,49","190,40","","1,88%"
"01.10.2024","190,72","192,10","193,39","189,84","","-0,68%"
"30.09.2024","192,02","190,10","192,37","189,54","","0,98%"
"27.09.2024","190,15","194,27","196,01","190,01","","-2,11%"
"26.09.2024","194,25","192,87","194,38","192,48","","0,73%"
"25.09.2024","192,85","192,11","193,30","191,76","","0,41%"
"24.09.2024","192,07","191,68","193,38","191,32","","0,22%"
"23.09.2024","191,65","191,75","192,49","190,12","","-0,03%"
"20.09.2024","191,70","189,48","192,04","188,71","","1,19%"
"19.09.2024","189,44","188,01","190,43","187,43","","0,78%"
"18.09.2024","187,97","187,43","188,52","185,80","","0,30%"
"17.09.2024","187,40","185,84","187,49","185,28","","0,85%"
"16.09.2024","185,82","184,84","186,12","183,76","","0,56%"
"13.09.2024","184,78","186,13","186,24","184,35","","-0,69%"
"12.09.2024","186,07","185,70","186,79","185,27","","0,23%"
"11.09.2024","185,65","186,35","186,42","183,70","","-0,34%"
"10.09.2024","186,28","187,19","188,13","185,71","","-0,46%"
"09.09.2024","187,15","186,68","188,17","186,40","","0,24%"
"06.09.2024","186,70","189,05","189,43","186,51","","-1,21%"
"05.09.2024","188,98","188,97","189,84","188,05","","0,05%"
"04.09.2024","188,89","190,76","190,90","188,93","","-0,96%"
"03.09.2024","190,73","193,21","193,38","190,32","","-1,26%"
"02.09.2024","193,16","191,95","193,51","191,32","","0,68%"
"30.08.2024","191,85","190,93","192,06","190,47","","0,49%"
"29.08.2024","190,91","190,73","191,58","190,23","","0,11%"
"28.08.2024","190,70","190,90","191,49","190,35","","-0,06%"
"27.08.2024","190,81","190,63","191,96","190,21","","0,10%"
"26.08.2024","190,62","190,80","190,95","189,50","","-0,04%"
"23.08.2024","190,70","191,49","192,12","190,27","","-0,37%"
"22.08.2024","191,41","190,22","192,00","189,64","","0,65%"
"21.08.2024","190,17","189,32","191,15","188,92","","0,49%"
"20.08.2024","189,25","190,45","191,30","189,20","","-0,61%"
"19.08.2024","190,41","190,93","191,65","188,21","","-0,32%"
"16.08.2024","191,03","191,89","192,05","190,35","","-0,40%"
"15.08.2024","191,80","188,98","192,04","188,74","","1,52%"
"14.08.2024","188,93","188,88","189,46","187,85","","0,08%"
"13.08.2024","188,78","187,91","189,54","187,57","","0,48%"
"12.08.2024","187,87","187,06","189,37","187,04","","0,43%"
"09.08.2024","187,06","187,76","188,43","186,46","","-0,36%"
"08.08.2024","187,74","186,17","187,93","184,46","","0,85%"
"07.08.2024","186,16","183,16","188,10","183,10","","1,65%"
"06.08.2024","183,13","184,21","187,10","182,80","","-0,59%"
"05.08.2024","184,21","187,68","187,76","180,09","","-1,78%"
"02.08.2024","187,54","190,32","190,63","187,37","","-1,43%"
"01.08.2024","190,27","192,82","193,29","190,18","","-1,32%"
"31.07.2024","192,81","196,08","197,43","192,17","","-1,65%"
"30.07.2024","196,05","198,09","199,51","195,95","","-1,00%"
"29.07.2024","198,04","197,90","198,65","196,76","","0,15%"
"26.07.2024","197,75","197,85","199,18","196,93","","-0,04%"
