"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.11.2024","1,2763","1,2874","1,2874","1,2757","","-0,83%"
"11.11.2024","1,2869","1,2913","1,2926","1,2853","","-0,40%"
"08.11.2024","1,2921","1,2986","1,2989","1,2881","","-0,50%"
"07.11.2024","1,2986","1,2879","1,3009","1,2871","","0,84%"
"06.11.2024","1,2878","1,3041","1,3047","1,2832","","-1,25%"
"05.11.2024","1,3041","1,2956","1,3042","1,2945","","0,65%"
"04.11.2024","1,2957","1,2969","1,2998","1,2931","","0,24%"
"01.11.2024","1,2926","1,2899","1,2980","1,2881","","0,22%"
"31.10.2024","1,2898","1,2962","1,2999","1,2841","","-0,49%"
"30.10.2024","1,2962","1,3015","1,3043","1,2934","","-0,41%"
"29.10.2024","1,3015","1,2972","1,3016","1,2955","","0,34%"
"28.10.2024","1,2971","1,2959","1,3001","1,2936","","0,09%"
"25.10.2024","1,2959","1,2973","1,2998","1,2953","","-0,10%"
"24.10.2024","1,2972","1,2920","1,2987","1,2905","","0,40%"
"23.10.2024","1,2920","1,2983","1,2994","1,2904","","-0,49%"
"22.10.2024","1,2983","1,2980","1,3014","1,2942","","-0,01%"
"21.10.2024","1,2984","1,3038","1,3058","1,2974","","-0,49%"
"18.10.2024","1,3048","1,3010","1,3071","1,3002","","0,29%"
"17.10.2024","1,3010","1,2990","1,3022","1,2971","","0,15%"
"16.10.2024","1,2990","1,3073","1,3077","1,2973","","-0,63%"
"15.10.2024","1,3072","1,3059","1,3102","1,3033","","0,10%"
"14.10.2024","1,3059","1,3060","1,3071","1,3027","","-0,05%"
"11.10.2024","1,3066","1,3058","1,3083","1,3039","","0,06%"
"10.10.2024","1,3058","1,3069","1,3093","1,3019","","-0,09%"
"09.10.2024","1,3070","1,3104","1,3106","1,3052","","-0,26%"
"08.10.2024","1,3104","1,3082","1,3113","1,3061","","0,16%"
"07.10.2024","1,3083","1,3102","1,3134","1,3056","","-0,25%"
"04.10.2024","1,3116","1,3123","1,3174","1,3066","","-0,06%"
"03.10.2024","1,3124","1,3267","1,3274","1,3089","","-1,08%"
"02.10.2024","1,3267","1,3284","1,3305","1,3243","","-0,14%"
"01.10.2024","1,3285","1,3370","1,3389","1,3234","","-0,64%"
"30.09.2024","1,3370","1,3366","1,3422","1,3347","","-0,02%"
"27.09.2024","1,3373","1,3414","1,3427","1,3357","","-0,31%"
"26.09.2024","1,3415","1,3321","1,3434","1,3309","","0,69%"
"25.09.2024","1,3323","1,3412","1,3429","1,3309","","-0,66%"
"24.09.2024","1,3412","1,3345","1,3415","1,3329","","0,49%"
"23.09.2024","1,3346","1,3316","1,3359","1,3245","","0,19%"
"20.09.2024","1,3321","1,3284","1,3340","1,3265","","0,28%"
"19.09.2024","1,3284","1,3211","1,3314","1,3150","","0,54%"
"18.09.2024","1,3212","1,3160","1,3297","1,3153","","0,40%"
"17.09.2024","1,3160","1,3213","1,3229","1,3143","","-0,42%"
"16.09.2024","1,3216","1,3120","1,3218","1,3117","","0,72%"
"13.09.2024","1,3122","1,3124","1,3157","1,3112","","-0,01%"
"12.09.2024","1,3123","1,3043","1,3127","1,3029","","0,61%"
"11.09.2024","1,3043","1,3079","1,3111","1,2999","","-0,28%"
"10.09.2024","1,3079","1,3072","1,3107","1,3046","","0,05%"
"09.09.2024","1,3072","1,3114","1,3143","1,3065","","-0,39%"
"06.09.2024","1,3123","1,3176","1,3238","1,3107","","-0,39%"
"05.09.2024","1,3175","1,3146","1,3185","1,3134","","0,25%"
"04.09.2024","1,3142","1,3112","1,3175","1,3097","","0,24%"
"03.09.2024","1,3111","1,3149","1,3149","1,3084","","-0,29%"
"02.09.2024","1,3149","1,3119","1,3155","1,3117","","0,18%"
"30.08.2024","1,3126","1,3164","1,3199","1,3106","","-0,32%"
"29.08.2024","1,3168","1,3190","1,3227","1,3142","","-0,17%"
"28.08.2024","1,3190","1,3255","1,3262","1,3165","","-0,49%"
"27.08.2024","1,3255","1,3190","1,3266","1,3177","","0,49%"
"26.08.2024","1,3190","1,3210","1,3222","1,3177","","-0,14%"
"23.08.2024","1,3209","1,3089","1,3230","1,3082","","0,92%"
"22.08.2024","1,3088","1,3092","1,3129","1,3073","","-0,03%"
"21.08.2024","1,3092","1,3029","1,3119","1,3008","","0,48%"
