"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.11.2024","1,3946","1,3921","1,3967","1,3917","","0,16%"
"11.11.2024","1,3924","1,3908","1,3950","1,3892","","0,12%"
"08.11.2024","1,3908","1,3860","1,3928","1,3856","","0,34%"
"07.11.2024","1,3861","1,3938","1,3948","1,3839","","-0,55%"
"06.11.2024","1,3938","1,3824","1,3958","1,3820","","0,83%"
"05.11.2024","1,3823","1,3899","1,3906","1,3821","","-0,56%"
"04.11.2024","1,3901","1,3943","1,3943","1,3872","","-0,35%"
"01.11.2024","1,3950","1,3929","1,3959","1,3901","","0,12%"
"31.10.2024","1,3933","1,3904","1,3945","1,3889","","0,22%"
"30.10.2024","1,3903","1,3914","1,3940","1,3892","","-0,08%"
"29.10.2024","1,3914","1,3891","1,3929","1,3874","","0,18%"
"28.10.2024","1,3889","1,3891","1,3908","1,3878","","-0,01%"
"25.10.2024","1,3891","1,3854","1,3897","1,3835","","0,27%"
"24.10.2024","1,3854","1,3836","1,3868","1,3810","","0,13%"
"23.10.2024","1,3836","1,3818","1,3862","1,3813","","0,14%"
"22.10.2024","1,3816","1,3831","1,3838","1,3811","","-0,11%"
"21.10.2024","1,3831","1,3801","1,3849","1,3797","","0,22%"
"18.10.2024","1,3800","1,3794","1,3815","1,3782","","0,04%"
"17.10.2024","1,3794","1,3751","1,3801","1,3744","","0,32%"
"16.10.2024","1,3750","1,3774","1,3793","1,3747","","-0,17%"
"15.10.2024","1,3774","1,3795","1,3838","1,3767","","-0,15%"
"14.10.2024","1,3795","1,3759","1,3805","1,3755","","0,24%"
"11.10.2024","1,3762","1,3738","1,3783","1,3723","","0,17%"
"10.10.2024","1,3739","1,3710","1,3775","1,3695","","0,21%"
"09.10.2024","1,3710","1,3646","1,3718","1,3640","","0,46%"
"08.10.2024","1,3647","1,3617","1,3675","1,3608","","0,23%"
"07.10.2024","1,3616","1,3567","1,3639","1,3565","","0,33%"
"04.10.2024","1,3571","1,3554","1,3591","1,3542","","0,14%"
"03.10.2024","1,3552","1,3501","1,3559","1,3492","","0,38%"
