"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.11.2024","0,8821","0,8803","0,8831","0,8802","","0,19%"
"11.11.2024","0,8805","0,8756","0,8811","0,8750","","0,59%"
"08.11.2024","0,8753","0,8727","0,8769","0,8699","","0,32%"
"07.11.2024","0,8725","0,8761","0,8774","0,8708","","-0,43%"
"06.11.2024","0,8763","0,8632","0,8773","0,8617","","1,55%"
"05.11.2024","0,8629","0,8639","0,8648","0,8614","","-0,13%"
"04.11.2024","0,8640","0,8676","0,8680","0,8613","","-0,68%"
"01.11.2024","0,8699","0,8632","0,8713","0,8630","","0,73%"
"31.10.2024","0,8636","0,8666","0,8670","0,8631","","-0,35%"
"30.10.2024","0,8666","0,8675","0,8693","0,8652","","-0,05%"
"29.10.2024","0,8670","0,8654","0,8698","0,8641","","0,21%"
"28.10.2024","0,8652","0,8667","0,8699","0,8645","","-0,15%"
"25.10.2024","0,8665","0,8657","0,8674","0,8648","","0,10%"
"24.10.2024","0,8656","0,8663","0,8671","0,8648","","-0,08%"
"23.10.2024","0,8663","0,8652","0,8686","0,8648","","0,12%"
"22.10.2024","0,8653","0,8661","0,8663","0,8643","","-0,09%"
"21.10.2024","0,8661","0,8645","0,8663","0,8631","","0,16%"
"18.10.2024","0,8647","0,8657","0,8669","0,8643","","-0,12%"
"17.10.2024","0,8657","0,8654","0,8669","0,8628","","0,03%"
"16.10.2024","0,8654","0,8617","0,8657","0,8612","","0,44%"
"15.10.2024","0,8616","0,8626","0,8638","0,8604","","-0,10%"
"14.10.2024","0,8625","0,8566","0,8641","0,8565","","0,64%"
"11.10.2024","0,8570","0,8565","0,8584","0,8557","","0,11%"
"10.10.2024","0,8561","0,8604","0,8612","0,8558","","-0,51%"
"09.10.2024","0,8605","0,8570","0,8612","0,8563","","0,43%"
"08.10.2024","0,8568","0,8542","0,8584","0,8528","","0,26%"
"07.10.2024","0,8546","0,8575","0,8598","0,8532","","-0,40%"
"04.10.2024","0,8580","0,8531","0,8607","0,8498","","0,60%"
"03.10.2024","0,8529","0,8496","0,8542","0,8490","","0,38%"
"02.10.2024","0,8497","0,8463","0,8507","0,8446","","0,38%"
"01.10.2024","0,8465","0,8454","0,8482","0,8429","","0,12%"
"30.09.2024","0,8455","0,8407","0,8474","0,8398","","0,59%"
"27.09.2024","0,8405","0,8460","0,8493","0,8400","","-0,66%"
"26.09.2024","0,8461","0,8504","0,8516","0,8451","","-0,51%"
"25.09.2024","0,8504","0,8433","0,8507","0,8413","","0,84%"
"24.09.2024","0,8433","0,8474","0,8490","0,8428","","-0,50%"
"23.09.2024","0,8475","0,8500","0,8518","0,8454","","-0,31%"
"20.09.2024","0,8501","0,8476","0,8517","0,8449","","0,28%"
"19.09.2024","0,8477","0,8463","0,8514","0,8447","","0,18%"
"18.09.2024","0,8462","0,8471","0,8479","0,8389","","-0,11%"
"17.09.2024","0,8471","0,8444","0,8476","0,8428","","0,28%"
"16.09.2024","0,8447","0,8475","0,8486","0,8432","","-0,49%"
"13.09.2024","0,8489","0,8509","0,8516","0,8442","","-0,25%"
"12.09.2024","0,8510","0,8522","0,8549","0,8504","","-0,12%"
"11.09.2024","0,8520","0,8469","0,8529","0,8420","","0,60%"
"10.09.2024","0,8469","0,8493","0,8498","0,8454","","-0,28%"
"09.09.2024","0,8493","0,8433","0,8494","0,8419","","0,77%"
"06.09.2024","0,8428","0,8439","0,8475","0,8374","","-0,14%"
"05.09.2024","0,8440","0,8464","0,8491","0,8432","","-0,28%"
"04.09.2024","0,8464","0,8503","0,8518","0,8461","","-0,46%"
"03.09.2024","0,8503","0,8513","0,8537","0,8476","","-0,14%"
"02.09.2024","0,8515","0,8494","0,8537","0,8483","","0,20%"
"30.08.2024","0,8498","0,8466","0,8510","0,8465","","0,31%"
"29.08.2024","0,8472","0,8421","0,8493","0,8398","","0,59%"
"28.08.2024","0,8422","0,8414","0,8452","0,8407","","0,08%"
"27.08.2024","0,8415","0,8466","0,8485","0,8407","","-0,67%"
"26.08.2024","0,8472","0,8480","0,8485","0,8454","","-0,08%"
"23.08.2024","0,8479","0,8522","0,8541","0,8469","","-0,48%"
"22.08.2024","0,8520","0,8514","0,8534","0,8488","","0,04%"
"21.08.2024","0,8517","0,8535","0,8561","0,8493","","-0,27%"
"20.08.2024","0,8540","0,8627","0,8634","0,8538","","-1,01%"
"19.08.2024","0,8627","0,8657","0,8677","0,8614","","-0,38%"
"16.08.2024","0,8660","0,8724","0,8731","0,8657","","-0,76%"
"15.08.2024","0,8726","0,8650","0,8748","0,8645","","0,87%"
"14.08.2024","0,8651","0,8646","0,8661","0,8617","","0,05%"
"13.08.2024","0,8647","0,8650","0,8680","0,8635","","-0,05%"
"12.08.2024","0,8651","0,8637","0,8711","0,8633","","-0,01%"
"09.08.2024","0,8652","0,8666","0,8672","0,8630","","-0,14%"
"08.08.2024","0,8664","0,8616","0,8674","0,8557","","0,56%"
"07.08.2024","0,8616","0,8511","0,8662","0,8508","","1,21%"
"06.08.2024","0,8513","0,8518","0,8571","0,8499","","-0,12%"
"05.08.2024","0,8523","0,8588","0,8594","0,8430","","-0,61%"
"02.08.2024","0,8575","0,8732","0,8736","0,8571","","-1,75%"
"01.08.2024","0,8728","0,8780","0,8786","0,8724","","-0,58%"
"31.07.2024","0,8779","0,8822","0,8833","0,8768","","-0,52%"
"30.07.2024","0,8825","0,8861","0,8875","0,8824","","-0,38%"
"29.07.2024","0,8859","0,8831","0,8871","0,8818","","0,26%"
"26.07.2024","0,8836","0,8816","0,8844","0,8800","","0,24%"
"25.07.2024","0,8815","0,8849","0,8856","0,8775","","-0,41%"
"24.07.2024","0,8851","0,8913","0,8921","0,8827","","-0,66%"
"23.07.2024","0,8910","0,8895","0,8923","0,8886","","0,17%"
"22.07.2024","0,8895","0,8889","0,8902","0,8869","","0,06%"
"19.07.2024","0,8890","0,8871","0,8899","0,8864","","0,17%"
"18.07.2024","0,8875","0,8837","0,8878","0,8818","","0,49%"
"17.07.2024","0,8832","0,8939","0,8945","0,8825","","-1,14%"
"16.07.2024","0,8934","0,8957","0,8978","0,8933","","-0,25%"
"15.07.2024","0,8956","0,8943","0,8971","0,8932","","0,18%"
"12.07.2024","0,8940","0,8964","0,8970","0,8931","","-0,26%"
"11.07.2024","0,8963","0,8995","0,8997","0,8913","","-0,34%"
"10.07.2024","0,8994","0,8977","0,9000","0,8962","","0,19%"
"09.07.2024","0,8977","0,8976","0,8990","0,8967","","0,02%"
"08.07.2024","0,8975","0,8951","0,8977","0,8941","","0,17%"
"05.07.2024","0,8960","0,9000","0,9004","0,8952","","-0,46%"
"04.07.2024","0,9001","0,9009","0,9039","0,8989","","-0,14%"
"03.07.2024","0,9014","0,9033","0,9050","0,8984","","-0,25%"
"02.07.2024","0,9037","0,9026","0,9049","0,9023","","0,10%"
"01.07.2024","0,9028","0,8976","0,9044","0,8974","","0,46%"
